tool_name,scenario_id,mapping,change_type,execution_status,status_detail,expected_file_count,actual_file_count,missing_files,extra_files,expected_line_count,actual_line_count,true_positives,false_positives,false_negatives,precision,recall,f1_score,sequence_agreement,exact_oracle_match,syntactic_valid,syntax_validator,syntax_detail,compiles,scenario_tests_pass,complete_textual_resolution
IntelliMerge,scenario_2,1:1,structural,completed_clean,process completed with a readable output tree,1,1,,,50,50,44,6,6,0.88,0.88,0.88,0.88,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
IntelliMerge,scenario_3,1:1,structural,completed_conflicted,conflict markers remain,1,1,,,50,55,49,6,1,0.8909090909090909,0.98,0.9333333333333333,0.8909090909090909,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"parser diagnostics: compiler.err.expected, compiler.err.illegal.start",,,False
IntelliMerge,scenario_4,1:1,structural,completed_conflicted,conflict markers remain,1,1,,,50,73,46,27,4,0.6301369863013698,0.92,0.7479674796747968,0.6301369863013698,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"parser diagnostics: compiler.err.expected, compiler.err.illegal.start",,,False
IntelliMerge,scenario_5,1:1,structural,completed_clean,process completed with a readable output tree,1,1,,,50,0,0,0,50,,0.0,,0.0,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
IntelliMerge,scenario_6,1:1,structural,completed_clean,process completed with a readable output tree,1,1,,,50,50,50,0,0,1.0,1.0,1.0,1.0,True,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,True
IntelliMerge,scenario_7,1:1,structural,completed_conflicted,conflict markers remain,1,1,,,48,36,27,9,21,0.75,0.5625,0.6428571428571429,0.5416666666666666,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"parser diagnostics: compiler.err.expected, compiler.err.illegal.start",,,False
IntelliMerge,scenario_8,1:1,structural,completed_conflicted,conflict markers remain,1,1,,,50,62,49,13,1,0.7903225806451613,0.98,0.8749999999999999,0.7903225806451613,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"parser diagnostics: compiler.err.expected, compiler.err.illegal.start",,,False
IntelliMerge,scenario_9,1:1,structural,completed_clean,process completed with a readable output tree,1,1,,,46,18,16,2,30,0.8888888888888888,0.34782608695652173,0.5,0.30434782608695654,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
IntelliMerge,scenario_10,1:1,structural,completed_clean,process completed with a readable output tree,1,1,,,51,51,51,0,0,1.0,1.0,1.0,1.0,True,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,True
IntelliMerge,scenario_11,1:1,behavioral,completed_conflicted,conflict markers remain,1,1,,,113,117,94,23,19,0.8034188034188035,0.831858407079646,0.817391304347826,0.8034188034188035,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"parser diagnostics: compiler.err.expected, compiler.err.illegal.start",,,False
